match_id,season,match_name,home_team,away_team,venue,bowling_team,batting_team,batting_innings,fullName,batting_position,runs,balls,fours,sixes,strike_rate,Batting_FP,TBS,TBOS,OTBS,OTBOS
1359479,2023,RCB v MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",MI,RCB,2,Virat Kohli,1,82,49,6,5,167.34,110,56.5,27.85714286,22.33333333,6.0
1359483,2023,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",KKR,RCB,2,Virat Kohli,1,21,18,3,0,116.66,24,12.81818182,27.28571429,26.77777778,51.33333333
1359489,2023,RCB v LSG,RCB,LSG,"M.Chinnaswamy Stadium, Bengaluru",LSG,RCB,1,Virat Kohli,1,61,44,4,4,138.63,83,70.0,41.5,24.18181818,9.666666667
1359494,2023,RCB v DC,RCB,DC,"M.Chinnaswamy Stadium, Bengaluru",DC,RCB,1,Virat Kohli,1,50,34,6,1,147.05,68,26.5,36.0,17.27272727,26.66666667
1359498,2023,RCB v CSK,RCB,CSK,"M.Chinnaswamy Stadium, Bengaluru",CSK,RCB,2,Virat Kohli,1,6,4,1,0,150.0,7,32.11111111,23.66666667,37.875,33.33333333
1359501,2023,PBKS v RCB,PBKS,RCB,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",PBKS,RCB,1,Virat Kohli,1,59,47,5,1,125.53,74,33.66666667,42.0,17.27272727,16.66666667
1359506,2023,RCB v RR,RCB,RR,"M.Chinnaswamy Stadium, Bengaluru",RR,RCB,1,Virat Kohli,1,0,1,0,0,0.0,-2,20.72727273,21.5,28.375,30.4
1359510,2023,RCB v KKR,RCB,KKR,"M.Chinnaswamy Stadium, Bengaluru",KKR,RCB,2,Virat Kohli,1,54,37,6,0,145.94,70,21.9,22.83333333,38.14285714,26.42857143
1359517,2023,LSG v RCB,LSG,RCB,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",LSG,RCB,1,Virat Kohli,1,31,30,3,0,103.33,38,13.09090909,30.85714286,9.727272727,33.71428571
1359524,2023,DC v RCB,DC,RCB,"Arun Jaitley Stadium, Delhi",DC,RCB,1,Virat Kohli,1,55,46,5,0,119.56,68,37.83333333,17.42857143,29.0,16.66666667
1359528,2023,MI v RCB,MI,RCB,"Wankhede Stadium, Mumbai",MI,RCB,1,Virat Kohli,1,1,4,0,0,25.0,1,33.25,14.28571429,34.57142857,25.33333333
1359534,2023,RR v RCB,RR,RCB,"Sawai Mansingh Stadium, Jaipur",RR,RCB,1,Virat Kohli,1,18,19,1,0,94.73,19,30.85714286,37.71428571,16.1,28.2
1359539,2023,SRH v RCB,SRH,RCB,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",SRH,RCB,2,Virat Kohli,1,100,63,12,4,158.73,140,61.0,29.4,35.14285714,6.857142857
1359544,2023,RCB v GT,RCB,GT,"M.Chinnaswamy Stadium, Bengaluru",GT,RCB,1,Virat Kohli,1,101,61,13,1,165.57,136,35.57142857,6.0,68.5,27.4
1304049,2022,PBKS v RCB,PBKS,RCB,"Dr DY Patil Sports Academy, Navi Mumbai",PBKS,RCB,1,Virat Kohli,3,41,29,1,2,141.37,52,61.25,19.83333333,35.85714286,8.333333333
1304052,2022,RCB v KKR,RCB,KKR,"Dr DY Patil Sports Academy, Navi Mumbai",KKR,RCB,2,Virat Kohli,3,12,7,2,0,171.42,14,15.22222222,52.66666667,13.36363636,31.5
1304059,2022,RR v RCB,RR,RCB,"Wankhede Stadium, Mumbai",RR,RCB,2,Virat Kohli,3,5,6,0,0,83.33,5,26.125,17.0,41.8,23.5
1304064,2022,RCB v MI,RCB,MI,"Maharashtra Cricket Association Stadium, Pune",MI,RCB,2,Virat Kohli,3,48,36,5,0,133.33,59,36.6,25.83333333,23.375,11.66666667
1304068,2022,CSK v RCB,CSK,RCB,"Dr DY Patil Sports Academy, Navi Mumbai",CSK,RCB,2,Virat Kohli,3,1,3,0,0,33.33,1,22.63636364,12.16666667,45.5,43.5
1304073,2022,DC v RCB,DC,RCB,"Wankhede Stadium, Mumbai",DC,RCB,1,Virat Kohli,3,12,14,1,0,85.71,13,35.14285714,25.66666667,24.11111111,20.4
1304077,2022,LSG v RCB,LSG,RCB,"Dr DY Patil Sports Academy, Navi Mumbai",LSG,RCB,1,Virat Kohli,3,0,1,0,0,0.0,-2,26.5,36.33333333,18.8,20.16666667
1304082,2022,RCB v SRH,RCB,SRH,"Brabourne Stadium, Mumbai",SRH,RCB,1,Virat Kohli,3,0,1,0,0,0.0,-2,3.636363636,5.75,30.66666667,61.6
